Name,Lastname,birthday

sdfsd,sfsd,23.01.1994
mehmet,fidan,23.01.1994
mehmet,scholz,25.03.1985
fff,ggg,23.01.1994
ssss,hhhh,23.01.1994
www,eee,23.01.1994
sss,ddd,23.01.1994
sss,ddd,1994.01.23
mehmet,fidan,23.01.1994
mehmet,fidan,23.01.2009
mehmet,fidan,23.01.2010
klaus,krell,23.01.1994
asdsa,adsad,23.01.1994
adsad,asds,12.01.1994
sdfdsf,sfdsf,14.02.2000
dano,mano,23.01.1994
asdsad,adsad,23.01.1994
memo,lemo,14.02.1965
klaus,muller,23.01.1995
memo,emo,23.01.1994
lalala,malalal,23.01.1994
asdsad,adsad,23.01.1956
